state,year,pop_estimate,pop_change,births,deaths,international_mig,domestic_mig,net_mig,natural_inc,r_birth,r_death,r_natural_inc,r_international_mig,r_domestic_mig,r_net_mig
South Carolina,2011,4671422,35766,57475,42035,2742,17335,20077,15440,12.35081515,9.032910222,3.317904932,0.589228972,3.725121891,4.314350863
South Carolina,2012,4717112,45690,57522,42075,5917,23939,29856,15447,12.25367028,8.963060687,3.290609588,1.26047368,5.099624712,6.360098392
South Carolina,2013,4764153,47041,56560,44661,5153,29597,34750,11899,11.93089741,9.420894786,2.510002621,1.086985756,6.243259734,7.330245489
South Carolina,2014,4823793,59640,57287,44521,6332,39857,46189,12766,11.94979613,9.286869158,2.662926971,1.320825128,8.313980909,9.634806037
South Carolina,2015,4892253,68460,58277,46825,7406,49011,56417,11452,11.99603213,9.638694588,2.357337543,1.52448846,10.08867187,11.61316033
South Carolina,2016,4958235,65982,57757,47248,5123,50184,55307,10509,11.72672867,9.593027269,2.133701396,1.040151513,10.18913987,11.22929138
South Carolina,2017,5021219,62984,56668,49134,5706,49600,55306,7534,11.35693396,9.847031711,1.509902245,1.143549537,9.940423594,11.08397313
South Carolina,2018,5084127,62908,56238,49776,5490,50775,56265,6462,11.13034625,9.851419239,1.278927016,1.086553593,10.04913637,11.13568996
South Dakota,2010,816165,1967,3032,1927,169,679,848,1105,0,0,0,0,0,0
South Dakota,2011,823484,7319,11796,7295,1245,1563,2808,4501,14.38844533,8.898245905,5.490199427,1.518617704,1.9065056,3.425123304
South Dakota,2012,833496,10012,11891,7433,2107,3356,5463,4458,14.35261741,8.971743775,5.380873638,2.543180968,4.050742918,6.593923886
South Dakota,2013,842270,8774,12059,7291,91,3836,3927,4768,14.39222421,8.701692241,5.690531972,0.108607049,4.578204833,4.686811882
South Dakota,2014,849088,6818,12440,7172,1069,408,1477,5268,14.71007321,8.480759248,6.22931396,1.264073011,0.482452562,1.746525573
South Dakota,2015,853933,4845,12255,7753,1610,-1226,384,4502,14.3920715,9.104996357,5.287075145,1.89075766,-1.439794342,0.450963318
South Dakota,2016,862890,8957,12321,7770,3173,1251,4424,4551,14.35325599,9.051602873,5.301653112,3.696362409,1.457343011,5.15370542
South Dakota,2017,873286,10396,12093,7374,3678,2006,5684,4719,13.93061533,8.494530508,5.436084821,4.236897642,2.310825631,6.547723272
South Dakota,2018,882235,8949,11943,7293,3659,638,4297,4650,13.60621719,8.308644556,5.297572629,4.168563065,0.72684975,4.895412815
Tennessee,2010,6355301,9015,19659,14307,1000,2839,3839,5352,0,0,0,0,0,0
Tennessee,2011,6397410,42109,78616,60208,8646,15053,23699,18408,12.32930002,9.442384447,2.886915574,1.355946983,2.360752941,3.716699924
Tennessee,2012,6451281,53871,80309,60638,7918,26026,33944,19671,12.50072867,9.438782519,3.061946155,1.232499093,4.051151981,5.283651074
Tennessee,2013,6493432,42151,80283,63491,9920,15067,24987,16792,12.403983,9.809564724,2.594418277,1.532672065,2.327900201,3.860572266
Tennessee,2014,6540826,47394,80453,63546,7558,22614,30172,16907,12.34485308,9.750612578,2.594240501,1.159713119,3.469932849,4.629645968
Tennessee,2015,6590808,49982,81879,66104,10051,24065,34116,15775,12.47049682,10.06790168,2.402595138,1.53080721,3.665195055,5.196002265
Tennessee,2016,6645011,54203,81259,66636,7649,31894,39543,14623,12.27865083,10.06904068,2.20961015,1.155803052,4.819346653,5.975149706
Tennessee,2017,6708794,63783,80204,67384,9043,41875,50918,12820,12.01215684,10.09210484,1.920052,1.354370533,6.27162071,7.625991244
Tennessee,2018,6770010,61216,79474,67259,8994,39952,48946,12215,11.79244093,9.979965582,1.81247535,1.334539771,5.928122406,7.262662177
Texas,2010,25242679,96565,92759,40966,15567,28034,43601,51793,0,0,0,0,0,0
Texas,2011,25646227,403548,381742,168090,71953,117054,189007,213652,15.00295565,6.606154984,8.39680067,2.827846211,4.600373999,7.42822021
Texas,2012,26089620,443393,378109,169149,88080,143712,231792,208960,14.61690576,6.538947744,8.077958016,3.404989194,5.555606348,8.960595542
Texas,2013,26489464,399844,384420,178632,83041,108849,191890,205788,14.62254458,6.794793154,7.827751431,3.158708509,4.140391643,7.299100152
Texas,2014,26977142,487678,394325,180772,110340,160926,271266,213553,14.75032846,6.76205256,7.988275897,4.127436105,6.019682641,10.14711875
Texas,2015,27486814,509672,402277,187892,121124,172520,293644,214385,14.77222844,6.899682425,7.872546019,4.447859058,6.335199008,10.78305807
Texas,2016,27937492,450678,400968,188835,115228,122969,238197,212133,14.46903097,6.814158395,7.654872575,4.158031316,4.437367245,8.59539856
Texas,2017,28322717,385225,395212,196396,103032,82801,185833,198816,14.04943234,6.981701757,7.067730587,3.662695245,2.94350133,6.606196575
Texas,2018,28701845,379128,391451,200500,104976,82569,187545,190951,13.72920672,7.032057519,6.697149204,3.681781896,2.895910012,6.577691908
Utah,2010,2775334,11443,13752,3687,959,477,1436,10065,0,0,0,0,0,0
Utah,2011,2814216,38882,51925,15008,2673,-567,2106,36917,18.57931318,5.370020843,13.20929234,0.956427619,-0.202878586,0.753549034
Utah,2012,2853467,39251,50448,15475,5024,-662,4362,34973,17.80198363,5.460785298,12.34119833,1.772858503,-0.233605161,1.539253342
Utah,2013,2897927,44460,51852,16280,3322,5657,8979,35572,18.03110689,5.661236215,12.36987068,1.155198201,1.967175262,3.122373463
Utah,2014,2937399,39472,50830,16277,5315,-202,5113,34553,17.4214774,5.578780003,11.84269739,1.821663434,-0.069233493,1.752429941
Utah,2015,2982497,45098,51014,17247,3951,7597,11548,33767,17.23476223,5.826791552,11.40797068,1.334820747,2.566599143,3.90141989
Utah,2016,3042613,60116,50623,17785,7371,19871,27242,32838,16.80400856,5.903626656,10.9003819,2.446760308,6.596062147,9.042822455
Utah,2017,3103118,60505,50317,17187,8973,18359,27332,33130,16.37461841,5.593150758,10.78146766,2.92007574,5.974553719,8.894629459
Utah,2018,3161105,57987,50124,17156,8967,16052,25019,32968,16.0032617,5.477455065,10.52580663,2.862924899,5.124977192,7.987902091
Vermont,2010,625880,136,1659,1330,86,-217,-131,329,0,0,0,0,0,0
Vermont,2011,626979,1099,6053,5431,1158,-636,522,622,9.662699474,8.669770501,0.992928973,1.848571946,-1.015277856,0.83329409
Vermont,2012,626063,-916,6087,5456,215,-1722,-1507,631,9.715556222,8.70840722,1.007149002,0.343164874,-2.748511223,-2.405346349
Vermont,2013,626212,149,5978,5559,321,-529,-208,419,9.547423689,8.8782416,0.669182089,0.512666946,-0.844862351,-0.332195404
Vermont,2014,625218,-994,6118,5607,291,-1721,-1430,511,9.777614409,8.960948675,0.816665734,0.465067962,-2.750453481,-2.285385519
